Filename                                   AMOEBA
091_KCl-Cl_1.20                         14.899792
091_KCl-Cl_1.30                         12.293448
091_KCl-Cl_1.40                         10.240508
091_KCl-Cl_1.50                          8.605763
091_KCl-Cl_2.00                          4.010535
092_KBr-K_1.00                           5.013503
092_KBr-K_1.10                           3.993300
092_KBr-K_1.20                           3.201966
092_KBr-K_1.30                           2.602498
092_KBr-K_1.40                           2.144249
092_KBr-K_1.50                           1.787724
092_KBr-K_2.00                           0.819426
093_KBr-Br_1.00                         24.656226
093_KBr-Br_1.10                         20.151967
093_KBr-Br_1.20                         16.515138
093_KBr-Br_1.30                         13.645105
093_KBr-Br_1.40                         11.375468
093_KBr-Br_1.50                          9.563904
093_KBr-Br_2.00                          4.460433
112_2Li-Water_neq_1.00                  -1.846629
112_2Li-Water_neq_1.10                  -1.327483
112_2Li-Water_neq_1.20                  -0.968760
112_2Li-Water_neq_1.30                  -0.718012
112_2Li-Water_neq_1.40                  -0.540233
112_2Li-Water_neq_1.50                  -0.412297
112_2Li-Water_neq_2.00                  -0.127915
113_2Na-Water_neq_1.00                  -0.935501
113_2Na-Water_neq_1.10                  -0.694411
113_2Na-Water_neq_1.20                  -0.517032
113_2Na-Water_neq_1.30                  -0.388394
113_2Na-Water_neq_1.40                  -0.295022
113_2Na-Water_neq_1.50                  -0.226751
113_2Na-Water_neq_2.00                  -0.071704
114_2K-Water_neq_1.00                    0.423419
114_2K-Water_neq_1.10                    0.184481
114_2K-Water_neq_1.20                    0.074518
114_2K-Water_neq_1.30                    0.022971
114_2K-Water_neq_1.40                   -0.001046
114_2K-Water_neq_1.50                   -0.011723
114_2K-Water_neq_2.00                   -0.013444
115_2F-Water_neq_1.00                   10.746378
115_2F-Water_neq_1.10                    6.598902
115_2F-Water_neq_1.20                    3.961025
115_2F-Water_neq_1.30                    2.466837
115_2F-Water_neq_1.40                    1.612017
115_2F-Water_neq_1.50                    1.098178
115_2F-Water_neq_2.00                    0.241769
116_2Cl-Water_neq_1.00                   7.112804
116_2Cl-Water_neq_1.10                   4.305543
116_2Cl-Water_neq_1.20                   2.607997
116_2Cl-Water_neq_1.30                   1.645071
116_2Cl-Water_neq_1.40                   1.085301
116_2Cl-Water_neq_1.50                   0.743864
116_2Cl-Water_neq_2.00                   0.164876
117_2Br-Water_neq_1.00                   6.687967
117_2Br-Water_neq_1.10                   4.073178
117_2Br-Water_neq_1.20                   2.482801
117_2Br-Water_neq_1.30                   1.573151
117_2Br-Water_neq_1.40                   1.040797
117_2Br-Water_neq_1.50                   0.714584
117_2Br-Water_neq_2.00                   0.158529
