Filename                                 MP2/aVTZ
016_Li-2Water_1.10                     -61.255128
016_Li-2Water_1.20                     -55.476946
016_Li-2Water_1.30                     -48.960101
016_Li-2Water_1.40                     -42.765723
016_Li-2Water_1.50                     -37.274284
016_Li-2Water_2.00                     -20.050637
017_Na-2Water_0.90                     -36.489126
017_Na-2Water_0.95                     -41.886625
017_Na-2Water_1.00                     -43.776858
017_Na-2Water_1.05                     -43.576982
017_Na-2Water_1.10                     -42.179085
017_Na-2Water_1.20                     -37.810664
017_Na-2Water_1.30                     -33.016826
017_Na-2Water_1.40                     -28.619300
017_Na-2Water_1.50                     -24.838247
017_Na-2Water_2.00                     -13.449914
018_K-2Water_0.90                      -19.630653
018_K-2Water_0.95                      -28.014213
018_K-2Water_1.00                      -31.856793
018_K-2Water_1.05                      -32.990968
018_K-2Water_1.10                      -32.561036
018_K-2Water_1.20                      -29.571265
018_K-2Water_1.30                      -25.843337
018_K-2Water_1.40                      -22.359979
018_K-2Water_1.50                      -19.368936
018_K-2Water_2.00                      -10.490519
019_F-2Water_0.90                      -48.459448
019_F-2Water_0.95                      -50.252435
019_F-2Water_1.00                      -50.972307
019_F-2Water_1.05                      -50.814337
019_F-2Water_1.10                      -49.965019
019_F-2Water_1.20                      -46.841142
019_F-2Water_1.30                      -42.661103
019_F-2Water_1.40                      -38.126399
019_F-2Water_1.50                      -33.659341
019_F-2Water_2.00                      -17.107364
020_Cl-2Water_0.90                     -25.241570
020_Cl-2Water_0.95                     -27.989894
020_Cl-2Water_1.00                     -29.034178
020_Cl-2Water_1.05                     -28.923756
020_Cl-2Water_1.10                     -28.066379
020_Cl-2Water_1.20                     -25.197591
020_Cl-2Water_1.30                     -21.854520
020_Cl-2Water_1.40                     -18.674630
020_Cl-2Water_1.50                     -15.894115
020_Cl-2Water_2.00                      -7.645348
021_Br-2Water_0.90                     -19.968752
021_Br-2Water_0.95                     -23.491273
021_Br-2Water_1.00                     -25.093805
021_Br-2Water_1.05                     -25.400733
021_Br-2Water_1.10                     -24.869106
021_Br-2Water_1.20                     -22.493548
021_Br-2Water_1.30                     -19.532274
021_Br-2Water_1.40                     -16.672956
021_Br-2Water_1.50                     -14.168366
021_Br-2Water_2.00                      -6.806095
022_Li-3Water                          -89.885848
023_Li-4Water                         -110.926642
024_Li-5Water                         -122.188210
025_Li-6Water                         -137.773828
026_Na-3Water                          -62.560348
027_Na-4Water                          -78.888021
028_Na-5Water                          -84.064074
029_Na-6Water                          -90.169575
030_K-3Water                           -46.814786
031_K-4Water                           -60.369710
032_K-5Water                           -57.886370
033_K-6Water                           -85.655427
034_F-3Water                           -68.262434
035_F-4Water                           -80.901439
036_F-5Water                           -95.691079
037_F-6Water                          -106.790448
038_Cl-3Water                          -40.935958
039_Cl-4Water                          -52.401487
040_Cl-5Water                          -63.423547
041_Cl-6Water                          -67.731796
042_Br-3Water                          -35.277399
043_Br-4Water                          -45.771338
044_Br-5Water                          -55.022645
045_Br-6Water                          -60.088317
046_Li-Water_Deg00_-60                 -13.368970
046_Li-Water_Deg00_-45                 -22.631117
046_Li-Water_Deg00_-30                 -28.698451
046_Li-Water_Deg00_-15                 -32.246643
046_Li-Water_Deg00_+00                 -33.422661
046_Li-Water_Deg00_+15                 -32.246643
046_Li-Water_Deg00_+30                 -28.698451
046_Li-Water_Deg00_+45                 -22.631117
046_Li-Water_Deg00_+60                 -13.368970
047_Na-Water_Deg00_-60                  -6.681234
047_Na-Water_Deg00_-45                 -13.883527
