Filename                                   AMOEBA
090_KCl-K_1.00                        -162.352445
090_KCl-K_1.10                        -160.065291
090_KCl-K_1.20                        -155.756976
090_KCl-K_1.30                        -151.293682
090_KCl-K_1.40                        -147.330078
090_KCl-K_1.50                        -144.030928
090_KCl-K_2.00                        -134.944463
091_KCl-Cl_1.00                       -150.356091
091_KCl-Cl_1.10                       -150.499783
091_KCl-Cl_1.20                       -148.040583
091_KCl-Cl_1.30                       -144.968373
091_KCl-Cl_1.40                       -142.066600
091_KCl-Cl_1.50                       -139.595221
091_KCl-Cl_2.00                       -132.798217
092_KBr-K_1.00                        -159.560723
092_KBr-K_1.10                        -156.425196
092_KBr-K_1.20                        -151.624305
092_KBr-K_1.30                        -146.910135
092_KBr-K_1.40                        -142.845193
092_KBr-K_1.50                        -139.523304
092_KBr-K_2.00                        -130.552682
093_KBr-Br_1.00                       -145.252380
093_KBr-Br_1.10                       -145.010935
093_KBr-Br_1.20                       -142.411378
093_KBr-Br_1.30                       -139.353697
093_KBr-Br_1.40                       -136.553573
093_KBr-Br_1.50                       -134.218027
093_KBr-Br_2.00                       -127.978958
112_2Li-Water_neq_1.00                  51.247748
112_2Li-Water_neq_1.10                  50.922549
112_2Li-Water_neq_1.20                  50.895388
112_2Li-Water_neq_1.30                  50.565937
112_2Li-Water_neq_1.40                  49.845919
112_2Li-Water_neq_1.50                  48.819441
112_2Li-Water_neq_2.00                  42.146555
113_2Na-Water_neq_1.00                  54.340844
113_2Na-Water_neq_1.10                  51.526472
113_2Na-Water_neq_1.20                  50.185780
113_2Na-Water_neq_1.30                  49.032306
113_2Na-Water_neq_1.40                  47.752457
113_2Na-Water_neq_1.50                  46.339106
113_2Na-Water_neq_2.00                  39.007708
114_2K-Water_neq_1.00                   53.077843
114_2K-Water_neq_1.10                   49.692410
114_2K-Water_neq_1.20                   47.744328
114_2K-Water_neq_1.30                   46.079870
114_2K-Water_neq_1.40                   44.426080
114_2K-Water_neq_1.50                   42.762360
114_2K-Water_neq_2.00                   35.179288
115_2F-Water_neq_1.00                   41.487658
115_2F-Water_neq_1.10                   39.054211
115_2F-Water_neq_1.20                   39.820091
115_2F-Water_neq_1.30                   40.495521
115_2F-Water_neq_1.40                   40.537494
115_2F-Water_neq_1.50                   40.048137
115_2F-Water_neq_2.00                   34.763036
116_2Cl-Water_neq_1.00                  45.815242
116_2Cl-Water_neq_1.10                  41.694830
116_2Cl-Water_neq_1.20                  40.333204
116_2Cl-Water_neq_1.30                  39.393304
116_2Cl-Water_neq_1.40                  38.342509
116_2Cl-Water_neq_1.50                  37.146345
116_2Cl-Water_neq_2.00                  30.874510
117_2Br-Water_neq_1.00                  45.820204
117_2Br-Water_neq_1.10                  41.375532
117_2Br-Water_neq_1.20                  39.708719
117_2Br-Water_neq_1.30                  38.552101
117_2Br-Water_neq_1.40                  37.362949
117_2Br-Water_neq_1.50                  36.085198
117_2Br-Water_neq_2.00                  29.769951
118_Li-Water_Cls_000                   -94.235678
118_Li-Water_Cls_001                   -99.036676
118_Li-Water_Cls_002                   -96.200862
118_Li-Water_Cls_003                   -78.339614
118_Li-Water_Cls_004                   -90.124376
118_Li-Water_Cls_005                   -95.979832
118_Li-Water_Cls_006                   -79.783854
118_Li-Water_Cls_007                   -89.425830
118_Li-Water_Cls_008                   -93.595737
118_Li-Water_Cls_009                   -95.275477
118_Li-Water_Cls_010                   -77.445208
118_Li-Water_Cls_011                   -99.140167
118_Li-Water_Cls_012                   -81.317082
118_Li-Water_Cls_013                   -93.780334
118_Li-Water_Cls_014                   -97.290062
118_Li-Water_Cls_015                   -56.033898
118_Li-Water_Cls_016                   -94.022308
118_Li-Water_Cls_017                   -93.594535
118_Li-Water_Cls_018                   -90.845404
118_Li-Water_Cls_019                   -88.564263
118_Li-Water_Cls_020                   -93.816538
118_Li-Water_Cls_021                   -88.499923
118_Li-Water_Cls_022                   -82.150100
118_Li-Water_Cls_023                   -89.524413
118_Li-Water_Cls_024                   -96.615751
118_Li-Water_Cls_025                   -92.598609
118_Li-Water_Cls_026                   -89.302922
118_Li-Water_Cls_027                   -77.283500
118_Li-Water_Cls_028                   -79.689731
118_Li-Water_Cls_029                   -95.465782
118_Li-Water_Cls_030                   -92.256965
118_Li-Water_Cls_031                   -77.968181
118_Li-Water_Cls_032                   -90.487597
118_Li-Water_Cls_033                   -96.297654
118_Li-Water_Cls_034                   -78.954353
118_Li-Water_Cls_035                   -97.705529
118_Li-Water_Cls_036                   -96.347957
118_Li-Water_Cls_037                   -87.136932
118_Li-Water_Cls_038                   -93.242549
118_Li-Water_Cls_039                   -96.545894
118_Li-Water_Cls_040                   -73.462039
118_Li-Water_Cls_041                   -92.259196
118_Li-Water_Cls_042                   -96.388672
118_Li-Water_Cls_043                   -95.445000
