Filename                           Electrostatics        Exchange      Dispersion       Induction     SAPT2+/aVTZ
123_Br-Water_Cls_049                   -42.140199       33.073119      -13.589010      -14.991052      -37.647143
123_Br-Water_Cls_050                   -61.670022       50.735860      -17.960517      -24.483064      -53.377743
123_Br-Water_Cls_051                   -61.460802       50.915621      -19.417079      -21.663157      -51.625418
123_Br-Water_Cls_052                   -40.065345       29.472324      -10.322959      -13.496536      -34.412517
123_Br-Water_Cls_053                   -51.505411       46.146146      -15.483274      -20.129721      -40.972260
123_Br-Water_Cls_054                   -47.772401       34.096441      -12.906127      -16.770249      -43.352337
123_Br-Water_Cls_055                   -66.030261       50.656589      -19.133398      -21.773314      -56.280384
123_Br-Water_Cls_056                   -61.671779       46.978187      -18.129976      -21.301029      -54.124596
123_Br-Water_Cls_057                   -38.568961       32.507084      -10.823643      -14.992332      -31.877852
123_Br-Water_Cls_058                   -59.374900       44.732321      -16.765069      -18.956008      -50.363656
123_Br-Water_Cls_059                   -58.421783       42.980363      -16.416617      -19.800868      -51.658905
123_Br-Water_Cls_060                   -53.810888       48.786141      -17.008713      -19.440908      -41.474369
123_Br-Water_Cls_061                   -50.008816       39.814384      -16.392199      -17.283167      -43.869797
123_Br-Water_Cls_062                   -58.025183       43.527134      -18.424968      -22.007531      -54.930549
123_Br-Water_Cls_063                   -55.080013       45.394329      -16.702007      -19.701441      -46.089131
123_Br-Water_Cls_064                   -69.003061       48.573920      -19.212442      -22.159056      -61.800639
123_Br-Water_Cls_065                   -69.792282       56.504082      -20.431316      -21.604961      -55.324477
123_Br-Water_Cls_066                   -30.152663       22.669534       -8.711146      -11.760198      -27.954474
123_Br-Water_Cls_067                   -47.617419       47.146851      -15.495138      -18.956155      -34.921862
123_Br-Water_Cls_068                   -43.353150       32.821408      -12.386063      -15.450364      -38.368170
123_Br-Water_Cls_069                   -50.792690       47.054768      -17.771864      -22.999524      -44.509311
123_Br-Water_Cls_070                   -55.102450       53.302804      -17.949498      -25.198365      -44.947510
123_Br-Water_Cls_071                   -53.759919       43.050403      -14.923246      -18.978589      -44.611352
123_Br-Water_Cls_072                   -57.307229       38.416322      -15.436704      -17.095335      -51.422946
123_Br-Water_Cls_073                   -61.844288       58.492442      -17.942070      -25.177591      -46.471506
123_Br-Water_Cls_074                   -41.354269       33.628277      -11.127689      -14.654904      -33.508585
123_Br-Water_Cls_075                   -49.433467       45.448780      -16.454543      -22.056622      -42.495852
123_Br-Water_Cls_076                   -66.512765       61.740881      -19.804131      -26.590127      -51.166142
123_Br-Water_Cls_077                   -61.703366       49.845774      -17.645593      -22.504581      -52.007766
123_Br-Water_Cls_078                   -38.451131       30.711626      -11.762112      -15.668599      -35.170217
123_Br-Water_Cls_079                   -64.354169       62.173435      -19.957722      -26.432755      -48.571211
123_Br-Water_Cls_080                   -41.874611       36.655600      -14.383716      -16.741685      -36.344413
123_Br-Water_Cls_081                   -37.960619       28.287051      -10.175304      -13.106018      -32.954890
123_Br-Water_Cls_082                   -44.614548       36.248856      -11.864346      -13.044632      -33.274669
123_Br-Water_Cls_083                   -80.244826       68.844484      -26.632806      -31.264162      -69.297311
123_Br-Water_Cls_084                   -78.244324       59.336559      -21.781920      -23.643711      -64.333397
123_Br-Water_Cls_085                   -56.795699       45.961052      -16.543288      -22.680886      -50.058822
123_Br-Water_Cls_086                   -82.675578       73.876820      -24.842690      -29.475740      -63.117187
123_Br-Water_Cls_087                   -51.244356       46.798149      -16.650331      -22.388960      -43.485498
123_Br-Water_Cls_088                   -35.099574       33.607957      -12.303836      -17.307788      -31.103242
123_Br-Water_Cls_089                   -53.860577       54.261223      -18.357653      -21.309123      -39.266130
123_Br-Water_Cls_090                   -52.686343       45.193037      -14.912292      -19.736088      -42.141686
123_Br-Water_Cls_091                   -39.362071       32.030984      -12.218878      -14.360393      -33.910357
123_Br-Water_Cls_092                   -63.722713       51.608229      -19.406879      -22.153181      -53.674545
123_Br-Water_Cls_093                   -45.979320       46.316219      -14.891901      -19.485442      -34.040444
123_Br-Water_Cls_094                   -76.323323       64.588828      -22.545467      -26.775617      -61.055580
123_Br-Water_Cls_095                   -54.879769       46.435582      -16.817464      -18.280743      -43.542394
123_Br-Water_Cls_096                   -65.135726       48.787506      -19.245132      -21.733491      -57.326842
123_Br-Water_Cls_097                   -49.998518       34.832648      -13.267421      -16.153030      -44.586321
123_Br-Water_Cls_098                   -66.240028       46.571778      -18.565819      -19.503030      -57.737098
123_Br-Water_Cls_099                   -52.294767       41.962788      -14.617540      -19.824399      -44.773917
