Filename                           Electrostatics        Exchange      Dispersion    Polarization  ChargeTransfer     ALMO/TZVPPD
010_Li-Water_2.00                       -9.110086        0.013838       -0.013958       -1.308222       -0.109775      -10.528203
011_Na-Water_0.80                      -51.327486       67.146558       -3.860755       -9.024641       -2.813408        0.120268
011_Na-Water_0.90                      -35.568786       27.505593       -2.270148       -7.672777       -1.337548      -19.343690
011_Na-Water_0.95                      -30.661592       17.674474       -1.762954       -7.124283       -0.944527      -22.818881
011_Na-Water_1.00                      -26.902199       11.380306       -1.379756       -6.581740       -0.678633      -24.162022
011_Na-Water_1.05                      -23.939818        7.339030       -1.079469       -6.037667       -0.500048      -24.217973
011_Na-Water_1.10                      -21.545650        4.738862       -0.851243       -5.487859       -0.381764      -23.527653
011_Na-Water_1.20                      -17.900072        1.983533       -0.532553       -4.433485       -0.261759      -21.144336
011_Na-Water_1.30                      -15.231525        0.836998       -0.336950       -3.497658       -0.218953      -18.448112
011_Na-Water_1.40                      -13.173685        0.358628       -0.217041       -2.723972       -0.194742      -15.950813
011_Na-Water_1.50                      -11.529207        0.157672       -0.142280       -2.113599       -0.167830      -13.795244
011_Na-Water_2.00                       -6.622562        0.004326       -0.022514       -0.668977       -0.036974       -7.346726
012_K-Water_0.80                       -56.055712       94.919288       -6.921534       -8.540607       -9.019622       14.381788
012_K-Water_0.90                       -33.522323       37.185325       -3.868905       -6.007290       -3.344168       -9.557337
012_K-Water_0.95                       -27.337452       23.225980       -2.923566       -5.241205       -2.121176      -14.397419
012_K-Water_1.00                       -22.989818       14.492424       -2.223948       -4.618834       -1.392280      -16.732457
012_K-Water_1.05                       -19.838050        9.038217       -1.696104       -4.087835       -0.948542      -17.532337
012_K-Water_1.10                       -17.475072        5.637428       -1.299976       -3.613934       -0.671391      -17.422945
012_K-Water_1.20                       -14.171343        2.201243       -0.773853       -2.805760       -0.371343      -15.921056
012_K-Water_1.30                       -11.930641        0.868953       -0.477247       -2.154732       -0.226506      -13.920148
012_K-Water_1.40                       -10.267519        0.348996       -0.304971       -1.647753       -0.146989      -12.018236
012_K-Water_1.50                        -8.961926        0.143045       -0.204493       -1.265535       -0.099331      -10.388217
012_K-Water_2.00                        -5.123160        0.001721       -0.033915       -0.396152       -0.021343       -5.572873
013_F-Water_0.80                       -96.379732      257.850382      -10.103896      -80.913480      -51.229350       19.223924
013_F-Water_0.90                       -70.711066      117.096391       -6.045937      -33.054087      -31.724259      -24.438934
013_F-Water_0.95                       -57.762094       78.249785       -4.687787      -23.072634      -23.087357      -30.360062
013_F-Water_1.00                       -47.167447       52.193451       -3.655163      -16.979517      -16.455521      -32.064197
013_F-Water_1.05                       -38.849785       34.820722       -2.870100      -12.982075      -11.677964      -31.559226
013_F-Water_1.10                       -32.402175       23.278394       -2.271104      -10.193881       -8.341754      -29.930521
013_F-Water_1.20                       -23.469861       10.529326       -1.455545       -6.645817       -4.425215      -25.467113
013_F-Water_1.30                       -17.851936        4.865750       -0.956931       -4.583198       -2.483389      -21.009704
013_F-Water_1.40                       -14.128800        2.299665       -0.639866       -3.298207       -1.454971      -17.222180
013_F-Water_1.50                       -11.533772        1.106859       -0.432911       -2.449163       -0.870793      -14.179756
013_F-Water_2.00                        -5.459704        0.026864       -0.095100       -0.710492       -0.086329       -6.324761
014_Cl-Water_0.80                      -49.882768      109.417806       -8.378800      -15.982935      -25.271391        9.901936
014_Cl-Water_0.90                      -30.955880       43.854135       -5.112715       -6.863289      -11.952199      -11.029971
014_Cl-Water_0.95                      -24.876458       27.777653       -4.007098       -5.071917       -8.120531      -14.298351
014_Cl-Water_1.00                      -20.387452       17.641611       -3.150669       -3.984632       -5.505210      -15.386353
014_Cl-Water_1.05                      -17.041826       11.251028       -2.485301       -3.255163       -3.746989      -15.278227
014_Cl-Water_1.10                      -14.506692        7.215774       -1.964125       -2.718881       -2.575574      -14.549498
014_Cl-Water_1.20                      -11.004159        3.036448       -1.230712       -1.956955       -1.274904      -12.430258
014_Cl-Water_1.30                       -8.748972        1.330210       -0.773662       -1.435612       -0.679159      -10.307194
014_Cl-Water_1.40                       -7.191444        0.611185       -0.491252       -1.064747       -0.383652       -8.519933
014_Cl-Water_1.50                       -6.051793        0.293786       -0.320029       -0.797514       -0.222275       -7.097825
014_Cl-Water_2.00                       -3.103776        0.009130       -0.057768       -0.228274       -0.011592       -3.392280
015_Br-Water_0.80                      -45.691276      104.657242       -8.498542      -13.674116      -22.564675       14.228633
015_Br-Water_0.90                      -27.941587       41.675717       -5.251816       -5.965774      -10.537380       -8.020841
015_Br-Water_0.95                      -22.365010       26.338217       -4.130545       -4.308580       -7.241133      -11.707027
015_Br-Water_1.00                      -18.268499       16.685636       -3.253537       -3.307505       -4.988767      -13.132672
015_Br-Water_1.05                      -15.231071       10.605330       -2.564938       -2.666730       -3.441324      -13.298709
015_Br-Water_1.10                      -12.943021        6.768547       -2.023948       -2.222514       -2.378513      -12.799450
015_Br-Water_1.20                       -9.807218        2.802629       -1.260277       -1.619718       -1.158078      -11.042639
015_Br-Water_1.30                       -7.802820        1.196750       -0.788695       -1.204661       -0.593499       -9.192902
015_Br-Water_1.40                       -6.422538        0.533246       -0.497825       -0.898948       -0.325598       -7.611687
015_Br-Water_1.50                       -5.413289        0.249689       -0.322443       -0.673996       -0.189077       -6.349116
015_Br-Water_2.00                       -2.793141        0.008509       -0.052199       -0.190129       -0.014866       -3.041802
016_Li-2Water_0.90                     -71.222275       48.282672       -3.447275      -26.674641       -6.778800      -59.840320
016_Li-2Water_0.95                     -65.688791       33.113480       -2.701816      -23.777749       -5.372467      -64.427342
016_Li-2Water_1.00                     -60.650359       22.752629       -2.116133      -21.429565       -4.241969      -65.685397
016_Li-2Water_1.05                     -56.079828       15.659058       -1.665679      -19.412954       -3.349498      -64.848877
016_Li-2Water_1.10                     -51.940750       10.790010       -1.308795      -17.629995       -2.643977      -62.733533
016_Li-2Water_1.20                     -44.795817        5.126291       -0.810970      -14.467376       -1.701052      -56.648924
016_Li-2Water_1.30                     -38.930951        2.436090       -0.504852      -11.700024       -1.196104      -49.895817
016_Li-2Water_1.40                     -34.098279        1.163337       -0.315392       -9.326649       -0.923231      -43.500215
016_Li-2Water_1.50                     -30.084919        0.561640       -0.192878       -7.377796       -0.742471      -37.836448
016_Li-2Water_2.00                     -17.592949        0.021367       -0.021295       -2.437715       -0.192376      -20.222945
017_Na-2Water_0.90                     -61.895770       40.425980       -3.758031      -14.134011       -1.850335      -41.212141
017_Na-2Water_0.95                     -54.050598       25.601362       -2.913145      -13.027557       -1.306692      -45.696630
017_Na-2Water_1.00                     -47.930688       16.238289       -2.265870      -11.952677       -0.940057      -46.851004
017_Na-2Water_1.05                     -43.022323       10.309943       -1.772251      -10.876506       -0.698901      -46.060038
017_Na-2Water_1.10                     -38.992017        6.553059       -1.385134       -9.821941       -0.554207      -44.200239
017_Na-2Water_1.20                     -32.728944        2.660182       -0.860994       -7.812954       -0.433939      -39.176649
