Filename                                 MP2/aVTZ
090_KCl-K_1.00                        -137.388075
090_KCl-K_1.10                        -140.695287
090_KCl-K_1.20                        -139.442696
090_KCl-K_1.30                        -136.655237
090_KCl-K_1.40                        -133.584904
090_KCl-K_1.50                        -130.715916
090_KCl-K_2.00                        -121.708523
091_KCl-Cl_1.00                       -135.538381
091_KCl-Cl_1.10                       -138.427143
091_KCl-Cl_1.20                       -137.106267
091_KCl-Cl_1.30                       -134.443450
091_KCl-Cl_1.40                       -131.583991
091_KCl-Cl_1.50                       -128.948404
091_KCl-Cl_2.00                       -120.813907
092_KBr-K_1.00                        -132.427286
092_KBr-K_1.10                        -135.391748
092_KBr-K_1.20                        -133.977316
092_KBr-K_1.30                        -131.126100
092_KBr-K_1.40                        -128.035798
092_KBr-K_1.50                        -125.170310
092_KBr-K_2.00                        -116.296064
093_KBr-Br_1.00                       -129.648118
093_KBr-Br_1.10                       -132.388887
093_KBr-Br_1.20                       -131.045050
093_KBr-Br_1.30                       -128.417866
093_KBr-Br_1.40                       -125.608275
093_KBr-Br_1.50                       -123.028404
093_KBr-Br_2.00                       -115.202774
112_2Li-Water_neq_1.00                  51.688537
112_2Li-Water_neq_1.10                  49.737470
112_2Li-Water_neq_1.20                  49.092750
112_2Li-Water_neq_1.30                  48.684082
112_2Li-Water_neq_1.40                  48.141659
112_2Li-Water_neq_1.50                  47.381278
112_2Li-Water_neq_2.00                  41.663609
113_2Na-Water_neq_1.00                  56.222238
113_2Na-Water_neq_1.10                  51.905674
113_2Na-Water_neq_1.20                  49.759087
113_2Na-Water_neq_1.30                  48.289049
113_2Na-Water_neq_1.40                  46.967888
113_2Na-Water_neq_1.50                  45.633830
113_2Na-Water_neq_2.00                  38.739845
114_2K-Water_neq_1.00                   54.377613
114_2K-Water_neq_1.10                   49.739862
114_2K-Water_neq_1.20                   47.297089
114_2K-Water_neq_1.30                   45.498371
114_2K-Water_neq_1.40                   43.861063
114_2K-Water_neq_1.50                   42.269027
114_2K-Water_neq_2.00                   35.006270
115_2F-Water_neq_1.00                   43.211673
115_2F-Water_neq_1.10                   41.486519
115_2F-Water_neq_1.20                   41.314482
115_2F-Water_neq_1.30                   41.197776
115_2F-Water_neq_1.40                   40.776493
115_2F-Water_neq_1.50                   40.059357
115_2F-Water_neq_2.00                   34.656773
116_2Cl-Water_neq_1.00                  45.048400
116_2Cl-Water_neq_1.10                  41.575967
116_2Cl-Water_neq_1.20                  40.155676
116_2Cl-Water_neq_1.30                  39.129956
116_2Cl-Water_neq_1.40                  38.059133
116_2Cl-Water_neq_1.50                  36.885247
116_2Cl-Water_neq_2.00                  30.771086
117_2Br-Water_neq_1.00                  44.681653
117_2Br-Water_neq_1.10                  40.937822
117_2Br-Water_neq_1.20                  39.333284
117_2Br-Water_neq_1.30                  38.180887
117_2Br-Water_neq_1.40                  37.026453
