Filename                           Electrostatics             VdW    Polarization          AMOEBA
119_Na-Water_Cls_047                   -58.532809       11.365809      -14.280974      -61.447975
119_Na-Water_Cls_048                   -79.589760       15.746910      -13.845466      -77.688317
119_Na-Water_Cls_049                   -97.530579       19.011231      -10.845915      -89.365262
119_Na-Water_Cls_050                   -88.810166       20.710160      -13.171501      -81.271507
119_Na-Water_Cls_051                   -68.463059       14.500945      -12.286242      -66.248356
119_Na-Water_Cls_052                   -63.923696       10.594075      -13.433168      -66.762789
119_Na-Water_Cls_053                   -89.989135       10.017343       -9.980843      -89.952634
119_Na-Water_Cls_054                   -79.420220       13.592386      -11.975233      -77.803067
119_Na-Water_Cls_055                   -67.032828       13.707989      -12.110159      -65.434998
119_Na-Water_Cls_056                   -84.882008       13.243489      -11.161604      -82.800123
119_Na-Water_Cls_057                   -79.874716       14.265817      -12.226656      -77.835556
119_Na-Water_Cls_058                  -100.956061       16.316649       -8.946318      -93.585730
119_Na-Water_Cls_059                   -92.189204       15.398398      -10.278310      -87.069116
119_Na-Water_Cls_060                   -91.424494       18.113832      -11.327520      -84.638182
119_Na-Water_Cls_061                   -86.503738       11.758520      -10.919142      -85.664361
119_Na-Water_Cls_062                   -88.197577       13.140490      -10.564544      -85.621631
119_Na-Water_Cls_063                   -69.371420       10.087472      -11.861961      -71.145910
119_Na-Water_Cls_064                   -86.627481       14.374979      -11.817778      -84.070279
119_Na-Water_Cls_065                   -79.733565       14.262349      -12.659192      -78.130408
119_Na-Water_Cls_066                   -93.436280       18.297192      -11.747647      -86.886734
119_Na-Water_Cls_067                   -84.601758       10.258547      -10.197403      -84.540614
119_Na-Water_Cls_068                   -73.535904       17.344714      -12.637198      -68.828389
119_Na-Water_Cls_069                   -69.094062       14.074020      -13.123750      -68.143792
119_Na-Water_Cls_070                  -102.444968       12.349715       -8.316445      -98.411698
119_Na-Water_Cls_071                   -85.057067       12.276823      -10.561209      -83.341454
119_Na-Water_Cls_072                   -77.468449       11.171892      -12.261033      -78.557590
119_Na-Water_Cls_073                   -86.782417       14.300616      -10.936893      -83.418694
119_Na-Water_Cls_074                   -74.141165       11.734434      -11.296306      -73.703037
119_Na-Water_Cls_075                   -70.777559       18.205893      -15.164083      -67.735749
119_Na-Water_Cls_076                   -67.886881       11.706092      -11.930416      -68.111204
119_Na-Water_Cls_077                   -81.127621       16.727524      -13.200530      -77.600627
119_Na-Water_Cls_078                  -101.708697       20.549458      -10.521421      -91.680660
119_Na-Water_Cls_079                   -87.242415       10.049657      -10.236340      -87.429098
119_Na-Water_Cls_080                   -75.982992       12.330413      -11.601594      -75.254173
119_Na-Water_Cls_081                   -88.743832       22.923330      -13.647025      -79.467527
119_Na-Water_Cls_082                   -83.854426       18.060422      -12.737501      -78.531505
119_Na-Water_Cls_083                  -102.612107       17.421057       -9.621739      -94.812788
119_Na-Water_Cls_084                   -90.360436       18.402999      -12.685615      -84.643052
119_Na-Water_Cls_085                   -88.581487       15.959649      -12.128205      -84.750042
119_Na-Water_Cls_086                   -72.173482        8.012538      -10.120752      -74.281696
119_Na-Water_Cls_087                   -81.726100       12.300290      -11.846519      -81.272330
119_Na-Water_Cls_088                   -84.127647       10.350969       -9.680393      -83.457072
119_Na-Water_Cls_089                   -72.976764       15.130132      -12.737410      -70.584041
119_Na-Water_Cls_090                   -81.745923       10.483972      -11.390092      -82.652044
119_Na-Water_Cls_091                   -80.088658       10.232423      -11.786403      -81.642638
119_Na-Water_Cls_092                   -85.974897       13.287915      -10.153770      -82.840753
119_Na-Water_Cls_093                   -70.230771       18.102230      -13.830182      -65.958723
119_Na-Water_Cls_094                  -105.580516       15.753683       -7.458165      -97.284997
119_Na-Water_Cls_095                   -92.884540       17.547464      -11.380408      -86.717485
119_Na-Water_Cls_096                   -71.715449       19.130446      -14.324026      -66.909029
119_Na-Water_Cls_097                   -85.037638       12.441116      -11.614605      -84.211127
119_Na-Water_Cls_098                   -75.731218       18.448607      -14.507185      -71.789796
119_Na-Water_Cls_099                   -59.936053        8.139569      -12.129871      -63.926355
120_K-Water_Cls_000                    -76.961220        7.179175       -5.349159      -75.131203
120_K-Water_Cls_001                    -68.561166        7.172144       -6.887546      -68.276568
120_K-Water_Cls_002                    -88.528552       15.443107       -5.934810      -79.020255
120_K-Water_Cls_003                    -59.785318        5.320492       -6.799757      -61.264583
120_K-Water_Cls_004                    -74.857900       15.933754       -8.492024      -67.416170
120_K-Water_Cls_005                    -56.034672       10.673446       -8.707721      -54.068947
120_K-Water_Cls_006                    -62.929124       11.207641       -8.947089      -60.668572
120_K-Water_Cls_007                    -47.396654        8.174885       -9.671962      -48.893732
120_K-Water_Cls_008                    -78.152774       14.772884       -7.409624      -70.789514
120_K-Water_Cls_009                    -53.690434        9.250282       -8.390598      -52.830750
120_K-Water_Cls_010                    -61.545198       10.172770       -8.035258      -59.407686
120_K-Water_Cls_011                    -67.114282       10.412231       -7.543446      -64.245498
120_K-Water_Cls_012                    -56.038004        8.811083       -8.705999      -55.932921
120_K-Water_Cls_013                    -31.197799        4.934626       -7.129317      -33.392490
120_K-Water_Cls_014                    -64.779905       10.649284       -7.803713      -61.934334
120_K-Water_Cls_015                    -71.995006       10.371476       -5.944598      -67.568128
120_K-Water_Cls_016                    -36.320398        5.018810       -8.775648      -40.077235
120_K-Water_Cls_017                    -71.237052       10.897220       -7.339326      -67.679158
120_K-Water_Cls_018                    -56.611235        6.420489       -6.807966      -56.998712
120_K-Water_Cls_019                    -53.587139        5.184928       -7.858028      -56.260239
120_K-Water_Cls_020                    -74.935244       12.035938       -7.459572      -70.358878
120_K-Water_Cls_021                    -85.430278       14.310901       -4.898160      -76.017538
120_K-Water_Cls_022                    -56.188956        9.307085       -8.588694      -55.470565
120_K-Water_Cls_023                    -77.332904       10.748634       -6.026738      -72.611008
120_K-Water_Cls_024                    -80.557656       17.138396       -7.866416      -71.285675
120_K-Water_Cls_025                    -63.912120        4.948877       -5.868790      -64.832033
120_K-Water_Cls_026                    -67.927439       13.742671       -8.633844      -62.818612
120_K-Water_Cls_027                    -71.457629       11.286896       -7.594742      -67.765475
120_K-Water_Cls_028                    -59.018956       12.588020       -7.353633      -53.784569
120_K-Water_Cls_029                    -69.695330       12.851398       -7.577600      -64.421533
120_K-Water_Cls_030                    -64.643812        8.229173       -7.294886      -63.709524
120_K-Water_Cls_031                    -81.817581       12.825039       -5.532594      -74.525135
120_K-Water_Cls_032                    -80.679769       11.214443       -5.926558      -75.391884
120_K-Water_Cls_033                    -72.035460       12.017014       -8.248536      -68.266982
120_K-Water_Cls_034                    -62.461702       14.346834       -7.893351      -56.008219
120_K-Water_Cls_035                    -39.828531        4.568532       -6.949783      -42.209781
120_K-Water_Cls_036                    -67.781667       20.835568       -9.779381      -56.725480
120_K-Water_Cls_037                    -75.667578        6.092753       -5.533645      -75.108470
120_K-Water_Cls_038                    -45.828320        6.810511       -6.459855      -45.477663
120_K-Water_Cls_039                    -77.535537       12.134601       -5.471042      -70.871978
120_K-Water_Cls_040                    -77.102438       14.072951       -7.629774      -70.659262
120_K-Water_Cls_041                    -70.841437        7.951115       -7.142132      -70.032454
120_K-Water_Cls_042                    -58.022347        7.840868       -7.840846      -58.022325
120_K-Water_Cls_043                    -63.257941       15.697857       -9.871670      -57.431753
120_K-Water_Cls_044                    -53.274920       10.123458       -8.003453      -51.154914
120_K-Water_Cls_045                    -52.531422        8.856874       -7.437722      -51.112270
120_K-Water_Cls_046                    -54.145419        7.155923       -6.896542      -53.886039
120_K-Water_Cls_047                    -70.657349        9.956530       -6.874856      -67.575675
120_K-Water_Cls_048                    -80.220129       11.042835       -5.894589      -75.071883
120_K-Water_Cls_049                    -68.132614        9.653735       -7.844883      -66.323762
120_K-Water_Cls_050                    -41.021082        7.147924       -8.962737      -42.835894
120_K-Water_Cls_051                    -86.577534       13.408568       -5.508725      -78.677691
120_K-Water_Cls_052                    -88.132900       14.310185       -5.576446      -79.399161
120_K-Water_Cls_053                    -85.147949       14.026991       -5.468837      -76.589795
120_K-Water_Cls_054                    -65.667981        8.313964       -7.237491      -64.591508
